quote,name,text
Captain Jackie and the hotdog,Rosie Jones,"Rosie Jones sings ""Captain Jackie and the hot dog"" during the Work out what is in the box task, in reference to her team’s appearance at that time.
"
The Nexus of Truth,Andy Zaltzman,"Andy Zaltzman repeatedly labels his own groin ""The Nexus of Truth"" during the Do these three things again and again and again in that same order task.
"
The cockle children,Greg Davies,"Greg Davies states that he had imagined himself as ""one of the cockle children of the Thames"", while looking at Jack Dee’s dirty artwork and listening to Emma Sidi’s ""haunting song"", during studio discussion of the Clean the most profound picture of majestic nature on a dirty thing task.
"
Le Goose,Rosie Jones,"Rosie Jones announces ""Je vous… presente… Le Goose"", at the start of her attempt at the Present ""The Goose"" task.
"
Sometimes spit,Alex Horne,"Alex Horne claims that he has been known to ""Sometimes spit"", when asked by Jason Mantzoukas what cool things he does, during the Do your cool thing backwards task."
An invisible jump rope,Jason Mantzoukas,"Jason Mantzoukas suggests that everyone ""Imagine there’s an invisible jump rope in there"", before footage of Stevie Martin’s strange jumping gait during the Give Alex exactly 100 marbles on a plate and an eggcup full of tepid water task is replayed yet again on the screen, in the studio."
My presumably scrotum,Mathew Baynton,"Mathew Baynton states that ""It was not my intention to upstage Stevie with my, presumably, scrotum"" after watching his own attempt at the Answer the cheese phone task."
Midnight picnic,Greg Davies,"Greg Davies sarcastically says ""I’m so sorry to interrupt the children’s midnight picnic"", when Jason Mantzoukas and Stevie Martin decide to sit on the stage floor to confer over their guesses to the Convince the other team that the following things are the opposite of what they are task."
Maybe we're the monsters,Greg Davies,"Greg Davies suggests that ""Maybe we're the monsters!"" during his end of episode sign-off, referencing Rosie Ramsey’s mistaken belief that the contestants were meant to draw themselves during the Draw the monster task."
It's got to be obsolete,Jason Mantzoukas,"Jason Mantzoukas says ""Oh, whatever it is, it’s got to be obsolete"", while mocking Alex Horne’s choice to study Latin and Greek at Cambridge University, during the Teach the Taskmaster's Assistant a lesson he'll never forget task."
Glass half most,Rosie Ramsey,"Rosie Ramsey says ""Glass half most"" whilst choosing between writing the word 'most' or 'least' during the Eat this yoghurt with the most/least dignity task, presumably trying to convey that she’s making her choice because she’s an optimist."
Science all your life,Mathew Baynton,"Mathew Baynton sings ""science all your life"" as part of his improvised theme tune to the 'Science Today' show, during the Obey the autocue task."
Getaway sticks,Jason Mantzoukas,"Jason Mantzoukas refers to Alex Horne’s legs as ""getaway sticks"" at the start of the Create the most exciting new bodies so that you and Alex become a dynamic duo task."
The clever side?,Greg Davies,"
After Greg Davies describes Jason Mantzoukas’s stalling tactic during the Provide the best drive-through experience task as ""So clever"", and Alex Horne claims that they’ve ""not seen that side of you before"", Jason asks, incredulously, ""The clever side?""."
