quote,name,text
Quisps,Ed Gamble,"""Quisps"" was what Ed Gamble claimed that David Baddiel would have called the Quavers, if he'd used them, in the Put the most things beginning with the letter you just said on this tray task.
"
Another spoon,Greg Davies,"""I'm gonna put another spoon on"" was how Greg Davies imagined David Baddiel's mind worked, during the Lasso Alex task.
"
Bready bready bready,Jo Brand,"""Bready bready bready"" was something Jo Brand said while defending her attempt at the Push a melon up the slide and into the caravan with these breadsticks task.
"
A cuddle,Alex Horne,"""We're gonna start this one with a cuddle"" was what Alex Horne said as he secretly attached a ring to the contestants' backs, during the Put the most gold rings on this drumstick task.
"
Shaqinahat,Alex Horne,"""Shaqinahat"" was the measurement used by Alex Horne for Rose Matafeo's attempt at the Throw something into this pedal bin from the furthest distance task.
"
Don't like them go bang,Greg Davies,"""Don’t like them go bang"" was how Greg Davies paraphrased something David Baddiel said during the Inflate, tie and pop as many balloons as possible in ten minutes task. What he actually said was ""I don't like popping balloons. I mean, bang them. Make them go bang.""
"
Think about the spirit,Greg Davies,"""Think about the spirit"" was part of something Greg Davies said during a discussion about rule-breaking by certain contestants in the Complete the seven tasks task.
"
God's haemorrhoid,Johnny Vegas,"""God’s haemorrhoid"" was how Johnny Vegas described the bunch of helium balloons he'd let fly up to the ceiling, in the Land the most egg in the frying pan task.
"
A documentary about a despot,Greg Davies,"""A documentary about a despot"" was where Greg Davies said he would expect to hear the phrase ""This is dehumanising!"", as uttered by Johnny Vegas during the Get all the exercise balls in the hoops task.""
"
Point of swivel,Johnny Vegas,"""Point of swivel"" was a phrase used by Johnny Vegas to justify his technique in the Catapult this shoe into the bath task.
"
Toshwash,Richard Herring,"""Toshwash"" was a word used by Richard the security guard to describe Richard Herring's argument in the Persuade the security guard to look in your bag task.
"
I hate your trainers,Mawaan Rizwan,"""I hate your trainers"" was an aggressive piece of criticism hurled at Mawaan Rizwan by Greg Davies, as Mawaan demonstrated his ability to deal with aggressive people, during the Do something out of character with this £20 task.
"
Hippopotamus,Daisy May Cooper,"'Hippopotamus' was never actually uttered during the episode, but is a reference to Daisy May Cooper's drawing of a hippo during the Draw the animal named on your card task.
"
Legit glass,Mawaan Rizwan,"""Legit glass"" was a phrase used by Mawaan Rizwan during the Make the best marble run task.
"
Moments of silence,Greg Davies,"""A couple of moments of silence"" were called for by Greg Davies after all of the contestants disappointed him in the Fill this cup so that it overfloweth task.
"
Air Horn Andy,Greg Davies,"""Air Horn Andy"" was how Greg Davies referred to Alex Horne during the Work out how many balls are in the basket task.
"
Dog meat trifle,Greg Davies,"""Dog meat trifle"" was what Greg Davies compared one of the team's performances to, in the Perform this song task.
"
It's not your fault,Mike Wozniak,"""It’s not your fault"" was something Mike Wozniak said to Alex Horne about the rain during the Deliver all the plates to Alex task.
"
The Lure of the Treacle Puppies,Greg Davies,"""The lure of the treacle-covered puppies"" was a phrase used by Greg Davies to summarise how Alex Horne had fallen pray to Mike Wozniak's haunted house in the Make the house haunted task.
"
Run up a tree to the moon,Greg Davies,"""Run up a tree to the moon"" was something that Greg Davies suggested that Charlotte Ritchie would be able to do, if she could ""run faster that gravity"", as she had attempted to do during the Make the sauna stones hiss task.
"
Premature conker,Mike Wozniak,"""Premature conker"" was one of the things that Mike Wozniak guessed he had found under the table in the Write down what five things are in the bowl under the table task.
"
Slap and tong,Greg Davies,"""Slap and tong"" was the phrase adopted by Greg Davies to initiate each round of the game played in the Grab the marshmallow with your tongs task.
"
Absolute casserole,Mike Wozniak,"""Absolute casserole"" was how Mike Wozniak described the state of his anus, having inadvertently squeezed out a haemorrhoid, during the Fart task.
"
You've got no chutzpah,Mike Wozniak,"""You’ve got no chutzpah"" was one of the things Mike Wozniak said in an effort to undermine a vole, during the Complete these tasks task.
"
An orderly species,Greg Davies,"""An orderly species"" was one of the ways that Greg Davies characterised the animal created by Mike Wozniak and Lee Mack during the Draw the best picture of a British animal task.
"
Mr Octopus and Pottyhands,Greg Davies,"""Mr Octopus and Pottyhands"" was how Greg Davies referred to two of the characters created by Charlotte Ritchie during the Look the most different in four photos taken by the camera task.
"
Activate Jamali,Sarah Kendall,"""Activate Jamali"" was a phrase used by Sarah Kendall to describe how she had decided to involve Jamali Maddix in the Direct your teammate into the red circle task.
"
An imbalance in the poppability,Guz Khan,"""An imbalance in the poppability"" was what Guz Khan blamed for his inability to Pop the balloon.
"
Oatmeal and death,Desiree Burch,"""Oatmeal and death"" was what Desiree Burch thought one of the doggy-bags contained, in the Work out the contents of these bags task.
"
The end of the franchise,Greg Davies,"""The end of the franchise"" was what Greg Davies thought would happen if Victoria Coren Mitchell's idea for a Bond movie were to be realised, in the Film the most thrilling 30 second sequence wearing the wellie cam task.
"
The customised inhaler,Victoria Coren Mitchell,"""The customised inhaler"" was a phrase used by Victoria Coren Mitchell to characterise the world from which the Solve the riddle task had been drawn.
"
